"Month","Lat","Lon","UV Index","City"
"01",-37.73,145.1,7.55426164874552,"Melbourne"
"02",-37.73,145.1,8.02463793103448,"Melbourne"
"03",-37.73,145.1,5.85368458781362,"Melbourne"
"04",-37.73,145.1,2.79218148148148,"Melbourne"
"05",-37.73,145.1,1.90732616487455,"Melbourne"
"06",-37.73,145.1,1.22037962962963,"Melbourne"
"07",-37.73,145.1,1.12516308243728,"Melbourne"
"08",-37.73,145.1,2.15770071684588,"Melbourne"
"09",-37.73,145.1,2.86793703703704,"Melbourne"
"10",-37.73,145.1,5.1158853046595,"Melbourne"
"11",-37.73,145.1,6.16732592592593,"Melbourne"
"12",-37.73,145.1,8.64021684587814,"Melbourne"
"01",-34.95,138.52,9.47087813620072,"Adelaide"
"02",-34.95,138.52,9.37981800766284,"Adelaide"
"03",-34.95,138.52,7.13611290322581,"Adelaide"
"04",-34.95,138.52,3.90585925925926,"Adelaide"
"05",-34.95,138.52,2.17591935483871,"Adelaide"
"06",-34.95,138.52,1.31078139534884,"Adelaide"
"07",-34.95,138.52,1.69651743976987,"Adelaide"
"08",-34.95,138.52,2.47018027762755,"Adelaide"
"09",-34.95,138.52,3.91808297832932,"Adelaide"
"10",-34.95,138.52,5.95449641577061,"Adelaide"
"11",-34.95,138.52,7.00528888888889,"Adelaide"
"12",-34.95,138.52,9.43993906810036,"Adelaide"
"01",-23.8,133.89,11.0603996415771,"Alice Springs"
"02",-23.8,133.89,11.2247003891051,"Alice Springs"
"03",-23.8,133.89,7.93987096774194,"Alice Springs"
"04",-23.8,133.89,8.02851111111111,"Alice Springs"
"05",-23.8,133.89,5.56991481481481,"Alice Springs"
"06",-23.8,133.89,4.32823481944725,"Alice Springs"
"07",-23.8,133.89,4.77245340501792,"Alice Springs"
"08",-23.8,133.89,6.49554659498208,"Alice Springs"
"09",-23.8,133.89,7.6127875532506,"Alice Springs"
"10",-23.8,133.89,8.76893287037037,"Alice Springs"
"11",-23.8,133.89,8.59350185185185,"Alice Springs"
"12",-23.8,133.89,10.3331146953405,"Alice Springs"
"01",-27.45,153.03,7.22621505376344,"Brisbane"
"02",-27.45,153.03,7.61952298850575,"Brisbane"
"03",-27.45,153.03,6.05345698924731,"Brisbane"
"04",-27.45,153.03,4.6477,"Brisbane"
"05",-27.45,153.03,3.25680465949821,"Brisbane"
"06",-27.45,153.03,3.06266871165644,"Brisbane"
"07",-27.45,153.03,3.05371264367816,"Brisbane"
"08",-27.45,153.03,3.7944311810454,"Brisbane"
"09",-27.45,153.03,5.35896481481482,"Brisbane"
"10",-27.45,153.03,6.27056810035842,"Brisbane"
"11",-27.45,153.03,6.29355555555556,"Brisbane"
"12",-27.45,153.03,8.09279569892473,"Brisbane"
"01",-35.31,149.2,7.72424731182796,"Canberra"
"02",-35.31,149.2,7.38235632183908,"Canberra"
"03",-35.31,149.2,5.93005376344086,"Canberra"
"04",-35.31,149.2,3.59529259259259,"Canberra"
"05",-35.31,149.2,1.95742114695341,"Canberra"
"06",-35.31,149.2,1.40444074074074,"Canberra"
"07",-35.31,149.2,1.57967383512545,"Canberra"
"08",-35.31,149.2,2.55625268817204,"Canberra"
"09",-35.31,149.2,4.0255037037037,"Canberra"
"10",-35.31,149.2,5.29988888888889,"Canberra"
"11",-35.31,149.2,6.11972592592593,"Canberra"
"12",-35.31,149.2,9.24882795698925,"Canberra"
"01",-12.43,130.89,6.86889426523298,"Darwin"
"02",-12.43,130.89,9.59582567049809,"Darwin"
"03",-12.43,130.89,9.4342688172043,"Darwin"
"04",-12.43,130.89,9.39992222222222,"Darwin"
"05",-12.43,130.89,7.59255376344086,"Darwin"
"06",-12.43,130.89,7.18781851851852,"Darwin"
"07",-12.43,130.89,7.20454659498208,"Darwin"
"08",-12.43,130.89,9.01369713261649,"Darwin"
"09",-12.43,130.89,10.3173240740741,"Darwin"
"10",-12.43,130.89,9.79799283154122,"Darwin"
"11",-12.43,130.89,7.52923422580041,"Darwin"
"12",-12.43,130.89,9.37226164874552,"Darwin"
"01",-28,153.37,8.09581720430108,"Gold Coast"
"02",-28,153.37,8.67053497942387,"Gold Coast"
"03",-28,153.37,6.94108781362007,"Gold Coast"
"04",-28,153.37,5.14393518518519,"Gold Coast"
"05",-28,153.37,3.5188082437276,"Gold Coast"
"06",-28,153.37,2.97819077724061,"Gold Coast"
"07",-28,153.37,3.09117520215633,"Gold Coast"
"08",-28,153.37,4.06986676269355,"Gold Coast"
"09",-28,153.37,5.58114074074074,"Gold Coast"
"10",-28,153.37,6.8145394265233,"Gold Coast"
"11",-28,153.37,7.25248333333333,"Gold Coast"
"12",-28,153.37,8.68375627240143,"Gold Coast"
"01",-42.99,147.29,7.1648082437276,"Kingston"
"02",-42.99,147.29,7.02507662835249,"Kingston"
"03",-42.99,147.29,4.78859139784946,"Kingston"
"04",-42.99,147.29,2.45143518518518,"Kingston"
"05",-42.99,147.29,1.13041039426523,"Kingston"
"06",-42.99,147.29,0.720814132104455,"Kingston"
"07",-42.99,147.29,0.849243727598566,"Kingston"
"08",-42.99,147.29,1.34429749103943,"Kingston"
"09",-42.99,147.29,2.41508148148148,"Kingston"
"10",-42.99,147.29,4.1967311827957,"Kingston"
"11",-42.99,147.29,5.15608148148148,"Kingston"
"12",-42.99,147.29,7.30113799283154,"Kingston"
"01",-32.9,151.72,8.43979211469534,"New Castle"
"02",-32.9,151.72,7.36699808429119,"New Castle"
"03",-32.9,151.72,6.35731720430107,"New Castle"
"04",-32.9,151.72,3.7743462962963,"New Castle"
"05",-32.9,151.72,2.25141218637993,"New Castle"
"06",-32.9,151.72,1.83562404287902,"New Castle"
"07",-32.9,151.72,2.00236233183856,"New Castle"
"08",-32.9,151.72,2.91730286738351,"New Castle"
"09",-32.9,151.72,4.49015404040404,"New Castle"
"10",-32.9,151.72,5.65063799283154,"New Castle"
"11",-32.9,151.72,6.71464372093023,"New Castle"
"12",-32.9,151.72,9.39202223019003,"New Castle"
"01",-31.93,115.98,11.2113225806452,"Perth"
"02",-31.93,115.98,9.90321264367816,"Perth"
"03",-31.93,115.98,8.19120430107527,"Perth"
"04",-31.93,115.98,5.12575740740741,"Perth"
"05",-31.93,115.98,2.73140501792115,"Perth"
"06",-31.93,115.98,2.09333333333333,"Perth"
"07",-31.93,115.98,2.19646594982079,"Perth"
"08",-31.93,115.98,2.93132890961263,"Perth"
"09",-31.93,115.98,5.23336296296296,"Perth"
"10",-31.93,115.98,6.96371863799283,"Perth"
"11",-31.93,115.98,8.13339814814815,"Perth"
"12",-31.93,115.98,10.2912652329749,"Perth"
"01",-34.04,151.1,7.98255913978495,"Sydney"
"02",-34.04,151.1,7.39699042145594,"Sydney"
"03",-34.04,151.1,6.06808781362007,"Sydney"
"04",-34.04,151.1,3.65247222222222,"Sydney"
"05",-34.04,151.1,2.20299283154122,"Sydney"
"06",-34.04,151.1,1.45291111111111,"Sydney"
"07",-34.04,151.1,1.92564600179695,"Sydney"
"08",-34.04,151.1,2.78269713261649,"Sydney"
"09",-34.04,151.1,4.19568952524491,"Sydney"
"10",-34.04,151.1,5.36185729652205,"Sydney"
"11",-34.04,151.1,6.08378888888889,"Sydney"
"12",-34.04,151.1,8.98567921146953,"Sydney"
"01",-19.33,146.76,9.86541935483871,"Townsville"
"02",-19.33,146.76,8.34262835249042,"Townsville"
"03",-19.33,146.76,8.68264695340502,"Townsville"
"04",-19.33,146.76,7.33111666666667,"Townsville"
"05",-19.33,146.76,5.24613440860215,"Townsville"
"06",-19.33,146.76,4.90689423076923,"Townsville"
"07",-19.33,146.76,5.02114336917563,"Townsville"
"08",-19.33,146.76,6.45491935483871,"Townsville"
"09",-19.33,146.76,7.48503333333333,"Townsville"
"10",-19.33,146.76,9.21058422939068,"Townsville"
"11",-19.33,146.76,9.65268148148148,"Townsville"
"12",-19.33,146.76,8.32641397849462,"Townsville"
